date,amount,direction,description,balance
05/03/2025,6000.0,in,proforma Transaction 1000,6000.0
05/03/2025,6000.0,in,proforma Transaction 1001,12000.0
05/03/2025,6400.0,in,proforma Transaction 1002,18400.0
05/03/2025,6400.0,in,proforma Transaction 1003,24800.0
05/03/2025,6400.0,in,proforma Transaction 1004,31200.0
05/03/2025,11000.0,in,proforma Transaction 1005,42200.0
05/03/2025,6000.0,in,proforma Transaction 1006,48200.0
05/03/2025,6000.0,in,proforma Transaction 1007,54200.0
05/03/2025,17000.0,in,proforma Transaction 1008,71200.0
05/03/2025,68500.0,in,proforma Transaction 1009,139700.0
05/03/2025,68500.0,in,proforma Transaction 1010,208200.0
05/03/2025,73500.0,in,proforma Transaction 1011,281700.0
05/03/2025,11000.0,in,proforma Transaction 1012,292700.0
05/03/2025,11000.0,in,proforma Transaction 1013,303700.0
05/03/2025,17000.0,in,proforma Transaction 1014,320700.0
05/03/2025,17000.0,in,proforma Transaction 1015,337700.0
05/03/2025,17000.0,in,proforma Transaction 1016,354700.0
05/03/2025,11000.0,in,proforma Transaction 1017,365700.0
05/03/2025,6000.0,in,proforma Transaction 1018,371700.0
05/03/2025,11000.0,in,proforma Transaction 1019,382700.0
07/03/2025,6900.0,in,completed Transaction 1020,389600.0
07/03/2025,13800.0,in,completed Transaction 1021,403400.0
07/03/2025,1000.0,out,Expenditure 1,402400.0
07/03/2025,1000.0,out,Staff Payment 1,401400.0
07/03/2025,6900.0,in,completed Transaction 1022,408300.0
07/03/2025,12000.0,in,proforma Transaction 1023,420300.0
07/03/2025,6000.0,in,proforma Transaction 1024,426300.0
